    82.00     4864.13      0.00    0.2272E-03    0.1895E-05   0.4
    83.00     4860.41      0.00    0.2213E-03    0.1805E-05   0.4
    84.00     4856.72      0.00    0.2155E-03    0.1721E-05   0.4
    85.00     4853.05      0.00    0.2099E-03    0.1642E-05   0.4
    86.00     4849.40      0.00    0.2046E-03    0.1567E-05   0.4
    87.00     4845.79      0.00    0.1994E-03    0.1496E-05   0.4
    88.00     4842.19      0.00    0.1945E-03    0.1429E-05   0.4
    89.00     4838.63      0.00    0.1897E-03    0.1365E-05   0.4
    90.00     4835.08      0.00    0.1850E-03    0.1306E-05   0.4
    91.00     4831.57      0.00    0.1805E-03    0.1249E-05   0.4
    92.00     4828.08      0.00    0.1762E-03    0.1195E-05   0.4
    93.00     4824.61      0.00    0.1720E-03    0.1145E-05   0.4
    94.00     4821.17      0.00    0.1680E-03    0.1096E-05   0.4
    95.00     4817.75      0.00    0.1641E-03    0.1051E-05   0.4
    96.00     4814.36      0.00    0.1604E-03    0.1008E-05   0.4
    97.00     4811.00      0.00    0.1567E-03    0.9666E-06   0.4
    98.00     4807.66      0.00    0.1532E-03    0.9276E-06   0.4
    99.00     4804.34      0.00    0.1498E-03    0.8906E-06   0.4
   100.00     4801.05      0.00    0.1465E-03    0.8555E-06   0.4
   101.00     4797.79      0.00    0.1433E-03    0.8221E-06   0.4
   102.00     4794.55      0.00    0.1402E-03    0.7903E-06   0.4
   103.00     4791.33      0.00    0.1372E-03    0.7601E-06   0.4
   104.00     4788.14      0.00    0.1343E-03    0.7314E-06   0.4
   105.00     4784.97      0.00    0.1315E-03    0.7040E-06   0.4
   106.00     4781.83      0.00    0.1288E-03    0.6780E-06   0.4
   107.00     4778.72      0.00    0.1262E-03    0.6532E-06   0.4
   108.00     4775.62      0.00    0.1237E-03    0.6295E-06   0.4
   109.00     4772.56      0.00    0.1212E-03    0.6070E-06   0.4
   110.00     4769.52      0.00    0.1188E-03    0.5854E-06   0.4
   111.00     4766.50      0.00    0.1165E-03    0.5649E-06   0.4
   112.00     4763.50      0.00    0.1142E-03    0.5453E-06   0.4
   113.00     4760.54      0.00    0.1120E-03    0.5266E-06   0.4
   114.00     4757.59      0.00    0.1099E-03    0.5087E-06   0.4
   115.00     4754.67      0.00    0.1079E-03    0.4917E-06   0.4
   116.00     4751.78      0.00    0.1059E-03    0.4753E-06   0.4
   117.00     4748.91      0.00    0.1039E-03    0.4597E-06   0.4
   118.00     4746.06      0.00    0.1021E-03    0.4448E-06   0.4
   119.00     4743.24      0.00    0.1002E-03    0.4305E-06   0.4
   120.00     4740.45      0.00    0.9845E-04    0.4168E-06   0.4
   121.00     4737.67      0.00    0.9673E-04    0.4037E-06   0.4
   122.00     4734.93      0.00    0.9506E-04    0.3912E-06   0.4
   123.00     4732.20      0.00    0.9343E-04    0.3792E-06   0.4
   124.00     4729.50      0.00    0.9185E-04    0.3677E-06   0.4
   125.00     4726.83      0.00    0.9031E-04    0.3566E-06   0.4
   126.00     4724.18      0.00    0.8882E-04    0.3460E-06   0.4
   127.00     4721.55      0.00    0.8737E-04    0.3359E-06   0.4
   128.00     4718.95      0.00    0.8596E-04    0.3261E-06   0.4
   129.00     4716.37      0.00    0.8459E-04    0.3168E-06   0.4
   130.00     4713.82      0.00    0.8325E-04    0.3078E-06   0.4
   131.00     4711.29      0.00    0.8195E-04    0.2992E-06   0.4
   132.00     4708.79      0.00    0.8069E-04    0.2909E-06   0.4
   133.00     4706.31      0.00    0.7946E-04    0.2829E-06   0.4
   134.00     4703.85      0.00    0.7826E-04    0.2753E-06   0.4
   135.00     4701.42      0.00    0.7710E-04    0.2679E-06   0.4
   136.00     4699.01      0.00    0.7596E-04    0.2609E-06   0.4
   137.00     4696.62      0.00    0.7486E-04    0.2541E-06   0.4
   138.00     4694.26      0.00    0.7379E-04    0.2475E-06   0.4
   139.00     4691.93      0.00    0.7274E-04    0.2412E-06   0.4
   140.00     4689.62      0.00    0.7172E-04    0.2351E-06   0.4
   141.00     4687.33      0.00    0.7073E-04    0.2293E-06   0.4
   142.00     4685.06      0.00    0.6976E-04    0.2237E-06   0.4
   143.00     4682.82      0.00    0.6882E-04    0.2182E-06   0.4
   144.00     4680.61      0.00    0.6791E-04    0.2130E-06   0.4
   145.00     4678.42      0.00    0.6701E-04    0.2080E-06   0.4
   146.00     4676.25      0.00    0.6614E-04    0.2031E-06   0.4
   147.00     4674.11      0.00    0.6529E-04    0.1985E-06   0.4
   148.00     4671.99      0.00    0.6447E-04    0.1939E-06   0.4
   149.00     4669.89      0.00    0.6366E-04    0.1896E-06   0.4
   150.00     4667.82      0.00    0.6288E-04    0.1854E-06   0.4
   151.00     4665.77      0.00    0.6211E-04    0.1813E-06   0.4
   152.00     4663.74      0.00    0.6137E-04    0.1774E-06   0.4
   153.00     4661.74      0.00    0.6064E-04    0.1737E-06   0.4
   154.00     4659.77      0.00    0.5993E-04    0.1700E-06   0.4
   155.00     4657.81      0.00    0.5924E-04    0.1665E-06   0.4
   156.00     4655.89      0.00    0.5857E-04    0.1631E-06   0.4
   157.00     4653.98      0.00    0.5791E-04    0.1598E-06   0.4
   158.00     4652.10      0.00    0.5727E-04    0.1566E-06   0.4
   159.00     4650.24      0.00    0.5665E-04    0.1536E-06   0.4
   160.00     4648.41      0.00    0.5604E-04    0.1506E-06   0.4
   161.00     4646.60      0.00    0.5544E-04    0.1477E-06   0.4
   162.00     4644.81      0.00    0.5487E-04    0.1450E-06   0.4
   163.00     4643.05      0.00    0.5430E-04    0.1423E-06   0.4
   164.00     4641.31      0.00    0.5375E-04    0.1397E-06   0.4
   165.00     4639.59      0.00    0.5322E-04    0.1372E-06   0.4
   166.00     4637.90      0.00    0.5269E-04    0.1348E-06   0.4
   167.00     4636.24      0.00    0.5218E-04    0.1324E-06   0.4
   168.00     4634.59      0.00    0.5169E-04    0.1302E-06   0.4
   169.00     4632.97      0.00    0.5120E-04    0.1280E-06   0.4
   170.00     4631.37      0.00    0.5073E-04    0.1258E-06   0.4
   171.00     4629.80      0.00    0.5027E-04    0.1238E-06   0.4
   172.00     4628.25      0.00    0.4982E-04    0.1218E-06   0.4
   173.00     4626.72      0.00    0.4938E-04    0.1199E-06   0.4
   174.00     4625.22      0.00    0.4895E-04    0.1180E-06   0.4
   175.00     4623.74      0.00    0.4854E-04    0.1162E-06   0.4
   176.00     4622.29      0.00    0.4813E-04    0.1145E-06   0.4
   177.00     4620.86      0.00    0.4774E-04    0.1128E-06   0.4
   178.00     4619.45      0.00    0.4735E-04    0.1111E-06   0.4
   179.00     4618.06      0.00    0.4698E-04    0.1096E-06   0.4
   180.00     4616.70      0.00    0.4661E-04    0.1080E-06   0.4
   181.00     4615.37      0.00    0.4626E-04    0.1065E-06   0.4
   182.00     4614.05      0.00    0.4591E-04    0.1051E-06   0.4
   183.00     4612.76      0.00    0.4557E-04    0.1037E-06   0.4
   184.00     4611.49      0.00    0.4524E-04    0.1024E-06   0.4
   185.00     4610.25      0.00    0.4492E-04    0.1011E-06   0.4
   186.00     4609.03      0.00    0.4461E-04    0.9980E-07   0.4
   187.00     4607.83      0.00    0.4431E-04    0.9858E-07   0.4
   188.00     4606.66      0.00    0.4401E-04    0.9740E-07   0.4
   189.00     4605.51      0.00    0.4373E-04    0.9626E-07   0.4
   190.00     4604.39      0.00    0.4345E-04    0.9516E-07   0.4
   191.00     4603.28      0.00    0.4318E-04    0.9409E-07   0.4
   192.00     4602.20      0.00    0.4291E-04    0.9306E-07   0.4
   193.00     4601.15      0.00    0.4266E-04    0.9206E-07   0.4
   194.00     4600.12      0.00    0.4241E-04    0.9109E-07   0.4
   195.00     4599.11      0.00    0.4217E-04    0.9016E-07   0.4
   196.00     4598.12      0.00    0.4193E-04    0.8926E-07   0.4
   197.00     4597.16      0.00    0.4171E-04    0.8839E-07   0.4
   198.00     4596.22      0.00    0.4149E-04    0.8755E-07   0.4
   199.00     4595.31      0.00    0.4127E-04    0.8674E-07   0.4
   200.00     4594.41      0.00    0.4107E-04    0.8595E-07   0.4
   201.00     4593.54      0.00    0.4086E-04    0.8520E-07   0.4
   202.00     4592.70      0.00    0.4067E-04    0.8447E-07   0.4
   203.00     4591.88      0.00    0.4048E-04    0.8377E-07   0.4
   204.00     4591.08      0.00    0.4030E-04    0.8310E-07   0.4
   205.00     4590.30      0.00    0.4013E-04    0.8245E-07   0.4
   206.00     4589.55      0.00    0.3996E-04    0.8182E-07   0.4
   207.00     4588.82      0.00    0.3979E-04    0.8122E-07   0.4
   208.00     4588.12      0.00    0.3964E-04    0.8064E-07   0.4
   209.00     4587.44      0.00    0.3949E-04    0.8009E-07   0.4
   210.00     4586.78      0.00    0.3934E-04    0.7956E-07   0.4
   211.00     4586.14      0.00    0.3920E-04    0.7905E-07   0.4
   212.00     4585.53      0.00    0.3907E-04    0.7856E-07   0.4
   213.00     4584.94      0.00    0.3894E-04    0.7810E-07   0.4
   214.00     4584.38      0.00    0.3882E-04    0.7765E-07   0.4
   215.00     4583.84      0.00    0.3870E-04    0.7723E-07   0.4
   216.00     4583.32      0.00    0.3859E-04    0.7683E-07   0.4
   217.00     4582.82      0.00    0.3848E-04    0.7645E-07   0.4
   218.00     4582.35      0.00    0.3838E-04    0.7608E-07   0.4
   219.00     4581.90      0.00    0.3828E-04    0.7574E-07   0.4
   220.00     4581.48      0.00    0.3819E-04    0.7542E-07   0.4
   221.00     4581.08      0.00    0.3811E-04    0.7511E-07   0.4
   222.00     4580.70      0.00    0.3803E-04    0.7483E-07   0.4
   223.00     4580.34      0.00    0.3795E-04    0.7456E-07   0.4
   224.00     4580.01      0.00    0.3788E-04    0.7431E-07   0.4
   225.00     4579.70      0.00    0.3782E-04    0.7408E-07   0.4
   226.00     4579.42      0.00    0.3775E-04    0.7387E-07   0.4
   227.00     4579.15      0.00    0.3770E-04    0.7367E-07   0.4
   228.00     4578.91      0.00    0.3765E-04    0.7350E-07   0.4
   229.00     4578.70      0.00    0.3760E-04    0.7334E-07   0.4
