variables="time (s)","Alt (m)","Vel (m/s)"           ,"Patm (N/m2)","Rho atm (kg/m3)","gamma (deg)","                  decel (g)","Q conv (W/cm2)","Qrad (W/cm2)","Qtotal (
zone T="BC=****** V= 5000.00 Gamma=50.00 LoD=2.30 Bnk= 0.00 rnose=3.000"
     43.00   114609.7    4837.40    2.04003E+00    1.75890E-05    50.023       -0.24           4.77           0.00         769.49    203487.51       205.80
     44.00   115767.1    4835.07    1.89369E+00    1.62209E-05    50.024       -0.24           4.58           0.00         774.17    208182.64       189.61
     45.00   116918.5    4832.76    1.75936E+00    1.49732E-05    50.026       -0.24           4.39           0.00         778.65    212876.83       174.85
     46.00   118064.0    4830.46    1.63595E+00    1.38343E-05    50.027       -0.23           4.22           0.00         782.95    217570.10       161.40
     47.00   119203.5    4828.18    1.52247E+00    1.27936E-05    50.028       -0.23           4.05           0.00         787.08    222262.46       149.12
     48.00   120337.1    4825.91    1.41803E+00    1.18419E-05    50.029       -0.23           3.89           0.00         791.05    226953.91       137.90
     49.00   121464.7    4823.66    1.32182E+00    1.09706E-05    50.030       -0.23           3.74           0.00         794.86    231644.48       127.63
     50.00   122586.4    4821.42    1.23313E+00    1.01722E-05    50.031       -0.23           3.59           0.00         798.53    236334.17       118.23
     51.00   123702.0    4819.20    1.15129E+00    9.44005E-06    50.032       -0.23           3.46           0.00         802.05    241022.99       109.62
     52.00   124811.7    4816.99    1.07572E+00    8.76798E-06    50.034       -0.22           3.33           0.00         805.45    245710.94       101.72
     53.00   125915.4    4814.80    1.00588E+00    8.15055E-06    50.035       -0.22           3.20           0.00         808.71    250398.05        94.47
     54.00   127013.1    4812.62    9.41287E-01    7.58281E-06    50.036       -0.22           3.09           0.00         811.86    255084.31        87.81
     55.00   128104.8    4810.45    8.81495E-01    7.06033E-06    50.037       -0.22           2.97           0.00         814.89    259769.73        81.69
     56.00   129190.6    4808.30    8.26106E-01    6.57909E-06    50.038       -0.22           2.87           0.00         817.81    264454.33        76.05
     57.00   130270.3    4806.16    7.74758E-01    6.13548E-06    50.040       -0.22           2.76           0.00         820.62    269138.10        70.86
     58.00   131344.0    4804.03    7.27119E-01    5.72622E-06    50.041       -0.22           2.67           0.00         823.34    273821.06        66.08
